filename,base_word_lengths,pause_lengths,neutral_relative_word_lengths,pause_lenghts
1033_IOM_NEU_XX,"[0.19, 0.13, 0.11, 0.18, 0.11, 0.1, 0.4]","[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1089_IEO_NEU_XX,"[0.19, 0.37, 0.5]","[0.0, -2.220446049250313e-16]",NA,
1026_IWW_NEU_XX,"[0.14, 0.29, 0.2, 0.22, 0.14, 0.29]","[-5.551115123125783e-17, 0.0, 1.1102230246251565e-16, 0.009999999999999787, 2.220446049250313e-16]",NA,
1051_DFA_NEU_XX,"[0.29, 0.27, 0.06, 0.46]","[0.030000000000000027, 0.0, -1.1102230246251565e-16]",NA,
1015_DFA_NEU_XX,"[0.3, 0.31, 0.07, 0.3]","[0.010000000000000009, 0.040000000000000036, 0.0]",NA,
1063_ITS_NEU_XX,"[0.09, 0.26, 0.13, 0.24, 0.17, 0.48]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1064_TSI_NEU_XX,"[0.15, 0.48, 0.21, 0.51]","[5.551115123125783e-17, 0.030000000000000027, 0.0]",NA,
1077_MTI_NEU_XX,"[0.38, 0.49, 0.2, 0.14, 0.15, 0.44]","[0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA,
1024_IWL_NEU_XX,"[0.18, 0.2, 0.22, 0.05, 0.22, 0.32, 0.2]","[5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1039_IEO_NEU_XX,"[0.16, 0.33, 0.31]","[5.551115123125783e-17, 0.0]",NA,
1050_IWW_NEU_XX,"[0.12, 0.27, 0.15, 0.17, 0.14, 0.35]","[-5.551115123125783e-17, 0.0, -1.1102230246251565e-16, 0.010000000000000009, 0.0]",NA,
1059_ITS_NEU_XX,"[0.13, 0.27, 0.15, 0.28, 0.23, 0.56]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1003_ITS_NEU_XX,"[0.16, 0.39, 0.27, 0.37, 0.29, 0.61]","[0.0, 0.010000000000000009, 0.0, 0.0, 0.0]",NA,
1086_IWL_NEU_XX,"[0.11, 0.19, 0.24, 0.09, 0.24, 0.38, 0.4]","[1.1102230246251565e-16, 0.0, 0.020000000000000018, 0.0, 0.0, 0.0]",NA,
1013_MTI_NEU_XX,"[0.4, 0.5, 0.18, 0.16, 0.15, 0.2]","[0.0, 0.010000000000000009, 0.0, 2.220446049250313e-16, 0.0]",NA,
1016_WSI_NEU_XX,"[0.21, 0.29, 0.1, 0.06, 0.29, 0.12, 0.52]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1034_IOM_NEU_XX,"[0.24, 0.15, 0.17, 0.18, 0.09, 0.11, 0.36]","[1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",NA,
1070_TAI_NEU_XX,"[0.26, 0.41, 0.15, 0.4, 0.41]","[0.0, 1.1102230246251565e-16, 0.0, 0.0]",NA,
1006_IWW_NEU_XX,"[0.15, 0.32, 0.21, 0.17, 0.16, 0.45]","[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA,
1044_IWW_NEU_XX,"[0.12, 0.32, 0.19, 0.24, 0.15, 0.57]","[0.0, -2.220446049250313e-16, 0.010000000000000231, 0.010000000000000009, 0.0]",NA,
1082_IEO_NEU_XX,"[0.2, 0.29, 0.51]","[-5.551115123125783e-17, 0.0]",NA,
1031_IWW_NEU_XX,"[0.11, 0.26, 0.16, 0.17, 0.14, 0.34]","[0.0, 0.0, 0.0, 2.220446049250313e-16, 0.0]",NA,
1036_IWL_NEU_XX,"[0.08, 0.09, 0.31, 0.06, 0.23, 0.4, 0.3]","[1.1102230246251565e-16, 0.010000000000000009, 0.0, -2.220446049250313e-16, 2.220446049250313e-16, 0.0]",NA,
1056_ITS_NEU_XX,"[0.12, 0.29, 0.16, 0.26, 0.2, 0.39]","[0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",NA,
1046_DFA_NEU_XX,"[0.37, 0.3, 0.07, 0.46]","[0.0, 0.020000000000000018, 0.0]",NA,
1072_ITH_NEU_XX,"[0.12, 0.32, 0.12, 0.19, 0.05, 0.46, 0.64]","[0.0, 0.010000000000000009, -2.220446049250313e-16, 2.220446049250313e-16, -2.220446049250313e-16, 0.040000000000000036]",NA,
1075_IWW_NEU_XX,"[0.13, 0.35, 0.21, 0.29, 0.16, 0.34]","[0.0, 0.0, 0.0, 0.020000000000000018, 0.0]",NA,
1003_TSI_NEU_XX,"[0.23, 0.62, 0.24, 0.77]","[0.0, 0.06000000000000005, 0.0]",NA,
1034_WSI_NEU_XX,"[0.14, 0.29, 0.12, 0.06, 0.29, 0.11, 0.45]","[-1.1102230246251565e-16, 1.1102230246251565e-16, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1085_WSI_NEU_XX,"[0.21, 0.36, 0.13, 0.07, 0.28, 0.11, 0.55]","[0.0, 0.010000000000000009, 0.0, 0.0, 0.0, 0.0]",NA,
1086_WSI_NEU_XX,"[0.18, 0.35, 0.11, 0.06, 0.29, 0.11, 0.27]","[1.1102230246251565e-16, 0.010000000000000009, -2.220446049250313e-16, 0.0, 0.0, 0.0]",NA,
1084_IEO_NEU_XX,"[0.24, 0.39, 0.6]","[0.0, -1.1102230246251565e-16]",NA,
1027_TSI_NEU_XX,"[0.26, 0.48, 0.18, 0.47]","[0.0, 0.040000000000000036, 0.0]",NA,
1031_TAI_NEU_XX,"[0.28, 0.46, 0.13, 0.39, 0.27]","[0.0, 0.0, 0.0, 0.010000000000000009]",NA,
1044_ITS_NEU_XX,"[0.14, 0.24, 0.15, 0.24, 0.21, 0.5]","[-5.551115123125783e-17, 1.1102230246251565e-16, 0.0, 0.0, 0.0]",NA,
1035_IWL_NEU_XX,"[0.13, 0.18, 0.21, 0.05, 0.2, 0.37, 0.36]","[0.0, 1.1102230246251565e-16, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1011_DFA_NEU_XX,"[0.38, 0.33, 0.08, 0.44]","[0.010000000000000231, 0.039999999999999813, 0.0]",NA,
1063_IOM_NEU_XX,"[0.17, 0.16, 0.15, 0.19, 0.11, 0.11, 0.39]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1036_MTI_NEU_XX,"[0.34, 0.42, 0.14, 0.22, 0.14, 0.44]","[0.0, 0.040000000000000036, -2.220446049250313e-16, 0.0, 0.0]",NA,
1064_TAI_NEU_XX,"[0.24, 0.52, 0.18, 0.52, 0.28]","[0.0, 0.0, 0.010000000000000009, 0.010000000000000009]",NA,
1077_IOM_NEU_XX,"[0.2, 0.16, 0.16, 0.21, 0.1, 0.1, 0.32]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1065_ITH_NEU_XX,"[0.07, 0.19, 0.07, 0.13, 0.04, 0.36, 0.31]","[0.010000000000000009, 0.0, 0.0, -2.220446049250313e-16, 0.0, 0.0]",NA,
1035_IEO_NEU_XX,"[0.22, 0.38, 0.52]","[0.010000000000000009, 2.220446049250313e-16]",NA,
1032_ITH_NEU_XX,"[0.01, 0.29, 0.11, 0.28, 0.05, 0.43, 0.64]","[0.09, 5.551115123125783e-17, 0.010000000000000009, 0.0, -1.1102230246251565e-16, 0.0]",NA,
1050_TIE_NEU_XX,"[0.34, 0.15, 0.67, 0.21, 0.43]","[0.0, 0.0, 0.019999999999999796, 0.010000000000000009]",NA,
1017_IWW_NEU_XX,"[0.08, 0.25, 0.14, 0.18, 0.15, 0.39]","[0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",NA,
1039_IWW_NEU_XX,"[0.13, 0.29, 0.15, 0.15, 0.13, 0.36]","[-5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0]",NA,
1083_IWL_NEU_XX,"[0.17, 0.24, 0.25, 0.05, 0.23, 0.38, 0.44]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1074_IWW_NEU_XX,"[0.14, 0.39, 0.2, 0.18, 0.15, 0.39]","[0.0, 0.0, 0.0, 0.020000000000000018, 0.0]",NA,
1023_TAI_NEU_XX,"[0.21, 0.45, 0.12, 0.41, 0.32]","[0.0, 1.1102230246251565e-16, 0.010000000000000009, 0.010000000000000009]",NA,
1063_TAI_NEU_XX,"[0.23, 0.51, 0.13, 0.39, 0.52]","[0.0, 0.0, 0.010000000000000231, -2.220446049250313e-16]",NA,
1067_WSI_NEU_XX,"[0.21, 0.34, 0.08, 0.04, 0.18, 0.02, 0.42]","[0.0, 0.0, -2.220446049250313e-16, 0.0, 0.0, 0.18000000000000016]",NA,
1027_TIE_NEU_XX,"[0.49, 0.12, 0.52, 0.14, 0.26]","[0.0, 0.0, -2.220446049250313e-16, 0.010000000000000231]",NA,
1001_IWL_NEU_XX,"[0.13, 0.19, 0.24, 0.03, 0.26, 0.37, 0.44]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1042_IOM_NEU_XX,"[0.24, 0.17, 0.18, 0.24, 0.11, 0.1, 0.44]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1064_MTI_NEU_XX,"[0.4, 0.55, 0.18, 0.2, 0.14, 0.5]","[-1.1102230246251565e-16, 0.05999999999999983, 2.220446049250313e-16, 0.0, -2.220446049250313e-16]",NA,
1053_ITH_NEU_XX,"[0.05, 0.3, 0.13, 0.28, 0.07, 0.4, 0.51]","[-1.3877787807814457e-17, 0.010000000000000009, 0.0, 0.019999999999999907, 1.1102230246251565e-16, 0.0]",NA,
1063_IEO_NEU_XX,"[0.22, 0.33, 0.54]","[0.0, 0.0]",NA,
1064_IWL_NEU_XX,"[0.14, 0.23, 0.31, 0.05, 0.28, 0.39, 0.32]","[0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA,
1022_MTI_NEU_XX,"[0.31, 0.49, 0.19, 0.25, 0.14, 0.45]","[0.0, 0.030000000000000027, 0.0, 0.0, -2.220446049250313e-16]",NA,
1029_DFA_NEU_XX,"[0.37, 0.32, 0.06, 0.47]","[0.019999999999999907, 0.0, 0.0]",NA,
1066_IEO_NEU_XX,"[0.16, 0.32, 0.46]","[0.0, 0.0]",NA,
1066_DFA_NEU_XX,"[0.33, 0.28, 0.05, 0.43]","[-1.1102230246251565e-16, 0.0, 0.0]",NA,
1015_ITH_NEU_XX,"[0.1, 0.27, 0.05, 0.2, 0.06, 0.41, 0.35]","[0.0, 0.0, 0.010000000000000009, 0.0, 0.0, 0.0]",NA,
1011_IEO_NEU_XX,"[0.16, 0.29, 0.48]","[0.0, -1.1102230246251565e-16]",NA,
1043_TAI_NEU_XX,"[0.18, 0.43, 0.12, 0.48, 0.28]","[0.0, 0.0, 0.009999999999999898, 0.0]",NA,
1040_TSI_NEU_XX,"[0.17, 0.39, 0.17, 0.45]","[0.0, 0.010000000000000009, 0.0]",NA,
1062_IWL_NEU_XX,"[0.16, 0.2, 0.28, 0.05, 0.25, 0.41, 0.46]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1064_IEO_NEU_XX,"[0.17, 0.41, 0.53]","[-1.1102230246251565e-16, 2.220446049250313e-16]",NA,
1054_MTI_NEU_XX,"[0.31, 0.5, 0.16, 0.14, 0.14, 0.4]","[0.0, 0.030000000000000027, 0.0, 2.220446049250313e-16, 0.0]",NA,
1076_TAI_NEU_XX,"[0.26, 0.61, 0.16, 0.5, 0.35]","[0.0, 0.009999999999999787, 0.009999999999999787, 0.010000000000000231]",NA,
1038_MTI_NEU_XX,"[0.41, 0.64, 0.21, 0.23, 0.13, 0.51]","[1.1102230246251565e-16, 0.09999999999999987, 2.220446049250313e-16, 0.0, 0.0]",NA,
1018_TAI_NEU_XX,"[0.24, 0.41, 0.13, 0.38, 0.26]","[0.0, 0.0, 0.0, 2.220446049250313e-16]",NA,
1072_TIE_NEU_XX,"[0.36, 0.21, 0.45, 0.17, 0.52]","[0.040000000000000036, 0.010000000000000009, 0.0, 0.010000000000000231]",NA,
1005_IOM_NEU_XX,"[0.21, 0.17, 0.17, 0.21, 0.17, 0.12, 0.42]","[1.1102230246251565e-16, -1.1102230246251565e-16, 0.0, 2.220446049250313e-16, 0.0, 0.0]",NA,
1005_IWL_NEU_XX,"[0.21, 0.23, 0.31, 0.11, 0.43, 0.54, 0.5]","[0.0, 0.0, 0.0, 0.009999999999999787, 0.030000000000000027, 0.0]",NA,
1042_TIE_NEU_XX,"[0.27, 0.12, 0.48, 0.13, 0.51]","[0.0, -1.1102230246251565e-16, 2.220446049250313e-16, 0.009999999999999787]",NA,
1049_TAI_NEU_XX,"[0.21, 0.48, 0.15, 0.57, 0.32]","[0.0, 0.0, 0.010000000000000009, 2.220446049250313e-16]",NA,
1009_WSI_NEU_XX,"[0.22, 0.33, 0.09, 0.06, 0.31, 0.11, 0.48]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0, 0.0]",NA,
1011_TAI_NEU_XX,"[0.47, 0.46, 0.13, 0.43, 0.3]","[2.220446049250313e-16, 0.010000000000000009, 0.0, 0.009999999999999787]",NA,
1077_IWL_NEU_XX,"[0.11, 0.2, 0.25, 0.09, 0.17, 0.37, 0.28]","[0.0, 0.0, 0.020000000000000018, 0.0, 0.0, 2.220446049250313e-16]",NA,
1078_IEO_NEU_XX,"[0.22, 0.35, 0.35]","[0.0, 0.0]",NA,
1011_WSI_NEU_XX,"[0.25, 0.4, 0.2, 0.06, 0.33, 0.14, 0.21]","[0.0, 0.020000000000000018, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1007_TAI_NEU_XX,"[0.55, 0.7, 0.2, 0.57, 0.41]","[-1.1102230246251565e-16, 0.010000000000000009, 0.010000000000000009, 0.009999999999999787]",NA,
1029_IEO_NEU_XX,"[0.18, 0.31, 0.54]","[0.0, 0.0]",NA,
1051_WSI_NEU_XX,"[0.22, 0.33, 0.1, 0.05, 0.29, 0.12, 0.54]","[0.0, -1.1102230246251565e-16, 1.1102230246251565e-16, -1.1102230246251565e-16, 0.0, 0.0]",NA,
1060_ITS_NEU_XX,"[0.14, 0.29, 0.16, 0.34, 0.23, 0.53]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1052_ITS_NEU_XX,"[0.09, 0.26, 0.12, 0.31, 0.21, 0.48]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1088_TAI_NEU_XX,"[0.23, 0.35, 0.12, 0.34, 0.25]","[-5.551115123125783e-17, 0.0, 0.0, 0.0]",NA,
1085_IEO_NEU_XX,"[0.17, 0.32, 0.53]","[0.0, 1.1102230246251565e-16]",NA,
1015_ITS_NEU_XX,"[0.15, 0.34, 0.18, 0.24, 0.19, 0.46]","[-1.1102230246251565e-16, 0.030000000000000027, 0.0, 0.0, 0.0]",NA,
1016_IWW_NEU_XX,"[0.07, 0.26, 0.15, 0.15, 0.15, 0.45]","[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA,
1036_TSI_NEU_XX,"[0.16, 0.47, 0.14, 0.54]","[0.0, 0.0, -2.220446049250313e-16]",NA,
1089_DFA_NEU_XX,"[0.36, 0.35, 0.08, 0.43]","[0.010000000000000009, 0.020000000000000018, -2.220446049250313e-16]",NA,
1075_MTI_NEU_XX,"[0.32, 0.52, 0.13, 0.13, 0.14, 0.28]","[0.0, 0.020000000000000018, 0.0, 2.220446049250313e-16, 0.0]",NA,
1023_MTI_NEU_XX,"[0.47, 0.51, 0.15, 0.17, 0.12, 0.42]","[0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0]",NA,
1075_IWL_NEU_XX,"[0.15, 0.18, 0.27, 0.09, 0.21, 0.36, 0.26]","[0.0, 0.0, 0.020000000000000018, 0.0, 0.0, 0.010000000000000009]",NA,
1010_MTI_NEU_XX,"[0.37, 0.57, 0.17, 0.13, 0.13, 0.54]","[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 0.0]",NA,
1037_TSI_NEU_XX,"[0.22, 0.52, 0.24, 0.49]","[0.0, 0.020000000000000018, 0.0]",NA,
1081_TSI_NEU_XX,"[0.27, 0.51, 0.25, 0.57]","[0.0, 0.010000000000000009, 0.0]",NA,
1071_TSI_NEU_XX,"[0.18, 0.5, 0.2, 0.49]","[2.220446049250313e-16, 0.009999999999999787, 2.220446049250313e-16]",NA,
1014_IWL_NEU_XX,"[0.17, 0.22, 0.22, 0.08, 0.29, 0.53, 0.35]","[0.0, 0.0, 0.030000000000000027, -2.220446049250313e-16, 0.020000000000000018, 0.020000000000000018]",NA,
1087_IOM_NEU_XX,"[0.2, 0.16, 0.16, 0.25, 0.13, 0.1, 0.49]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1040_DFA_NEU_XX,"[0.31, 0.35, 0.06, 0.46]","[0.009999999999999953, 0.020000000000000018, -1.1102230246251565e-16]",NA,
1015_IOM_NEU_XX,"[0.23, 0.14, 0.12, 0.18, 0.12, 0.11, 0.19]","[0.0, -1.1102230246251565e-16, 0.0, 1.1102230246251565e-16, 0.0, 0.0]",NA,
1090_DFA_NEU_XX,"[0.45, 0.27, 0.07, 0.48]","[0.0, 0.0, 0.0]",NA,
1067_ITS_NEU_XX,"[0.11, 0.19, 0.13, 0.19, 0.19, 0.44]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1038_IWL_NEU_XX,"[0.2, 0.22, 0.26, 0.05, 0.28, 0.39, 0.43]","[-1.1102230246251565e-16, 0.0, 0.0, -2.220446049250313e-16, 0.0, 0.0]",NA,
1086_TIE_NEU_XX,"[0.29, 0.09, 0.48, 0.1, 0.38]","[0.0, 0.0, 0.0, 0.009999999999999787]",NA,
1080_TAI_NEU_XX,"[0.23, 0.61, 0.19, 0.56, 0.42]","[0.0, 0.009999999999999787, 0.010000000000000231, 0.009999999999999787]",NA,
1066_ITH_NEU_XX,"[0.08, 0.24, 0.06, 0.17, 0.05, 0.39, 0.3]","[2.7755575615628914e-17, -5.551115123125783e-17, 0.010000000000000009, 0.0, -1.1102230246251565e-16, 2.220446049250313e-16]",NA,
1032_TSI_NEU_XX,"[0.2, 0.68, 0.18, 0.16]","[0.0, 0.07999999999999985, 0.020000000000000018]",NA,
1048_WSI_NEU_XX,"[0.24, 0.41, 0.12, 0.06, 0.35, 0.11, 0.16]","[0.0, 0.0, -2.220446049250313e-16, 0.0, 2.220446049250313e-16, -2.220446049250313e-16]",NA,
