filename,base_word_lengths,pause_lengths,neutral_relative_word_lengths,script,emotion,pos,dep,lemma,tag,stop,start,end
1001_ITH_FEA_XX,"[0.07, 0.18, 0.06, 0.06, 0.04, 0.34, 0.29]","[-2.7755575615628914e-17, 0.0, 0.030000000000000027, -1.1102230246251565e-16, 0.0, 0.0]","[-0.4166666666666666, -0.30769230769230776, 0.0, -0.6842105263157895, -0.20000000000000004, -0.17073170731707307, -0.39583333333333337]",I think I have a doctor's appointment,F,"['PRON', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', 'PART', 'NOUN']","['nsubj', 'ROOT', 'nsubj', 'ccomp', 'det', 'poss', 'case', 'dobj']","['I', 'think', 'I', 'have', 'a', 'doctor', ""'s"", 'appointment']","['PRP', 'VBP', 'PRP', 'VBP', 'DT', 'NN', 'POS', 'NN']","[True, False, True, True, True, False, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1001_ITH_NEU_XX,"[0.12, 0.26, 0.06, 0.19, 0.05, 0.41, 0.48]","[0.0, 0.0, 0.010000000000000009, 0.0, 0.0, 2.220446049250313e-16]",,I think I have a doctor's appointment,N,"['PRON', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', 'PART', 'NOUN']","['nsubj', 'ROOT', 'nsubj', 'ccomp', 'det', 'poss', 'case', 'dobj']","['I', 'think', 'I', 'have', 'a', 'doctor', ""'s"", 'appointment']","['PRP', 'VBP', 'PRP', 'VBP', 'DT', 'NN', 'POS', 'NN']","[True, False, True, True, True, False, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1001_ITS_NEU_XX,"[0.12, 0.27, 0.13, 0.25, 0.2, 0.49]","[0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.020000000000000018]",,I think I've seen this before,N,"['PRON', 'VERB', 'PRON', 'AUX', 'VERB', 'PRON', 'ADP']","['nsubj', 'ROOT', 'nsubj', 'aux', 'ccomp', 'dobj', 'prep']","['I', 'think', 'I', ""'ve"", 'see', 'this', 'before']","['PRP', 'VBP', 'PRP', 'VBP', 'VBN', 'DT', 'IN']","[True, False, True, True, False, True, True]","[True, False, False, False, False, False, False]","[False, False, False, False, False, False, True]"
1001_IWL_ANG_XX,"[0.17, 0.21, 0.38, 0.11, 0.36, 0.47, 0.57]","[0.0, 0.0, 0.03000000000000025, -2.220446049250313e-16, 0.02000000000000024, 0.0]","[0.30769230769230776, 0.1052631578947368, 0.5833333333333334, 2.666666666666667, 0.3846153846153845, 0.27027027027027023, 0.29545454545454536]",I would like a new alarm clock,A,"['PRON', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN']","['nsubj', 'aux', 'ROOT', 'det', 'amod', 'compound', 'dobj']","['I', 'would', 'like', 'a', 'new', 'alarm', 'clock']","['PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN']","[True, True, False, True, False, False, False]","[True, False, False, False, False, False, False]","[False, False, False, False, False, False, True]"
1001_IWL_DIS_XX,"[0.08, 0.17, 0.16, 0.03, 0.18, 0.29, 0.47]","[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.05999999999999983]","[-0.38461538461538464, -0.1052631578947368, -0.3333333333333333, 0.0, -0.30769230769230776, -0.21621621621621626, 0.06818181818181812]",I would like a new alarm clock,D,"['PRON', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN']","['nsubj', 'aux', 'ROOT', 'det', 'amod', 'compound', 'dobj']","['I', 'would', 'like', 'a', 'new', 'alarm', 'clock']","['PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN']","[True, True, False, True, False, False, False]","[True, False, False, False, False, False, False]","[False, False, False, False, False, False, True]"
1001_IWL_NEU_XX,"[0.13, 0.19, 0.24, 0.03, 0.26, 0.37, 0.44]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",,I would like a new alarm clock,N,"['PRON', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN']","['nsubj', 'aux', 'ROOT', 'det', 'amod', 'compound', 'dobj']","['I', 'would', 'like', 'a', 'new', 'alarm', 'clock']","['PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN']","[True, True, False, True, False, False, False]","[True, False, False, False, False, False, False]","[False, False, False, False, False, False, True]"
1001_IWL_SAD_XX,"[0.11, 0.19, 0.18, 0.05, 0.18, 0.37, 0.41]","[1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]","[-0.15384615384615388, 0.0, -0.25, 0.6666666666666669, -0.30769230769230776, 0.0, -0.06818181818181825]",I would like a new alarm clock,S,"['PRON', 'AUX', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN']","['nsubj', 'aux', 'ROOT', 'det', 'amod', 'compound', 'dobj']","['I', 'would', 'like', 'a', 'new', 'alarm', 'clock']","['PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN']","[True, True, False, True, False, False, False]","[True, False, False, False, False, False, False]","[False, False, False, False, False, False, True]"
1001_IWW_NEU_XX,"[0.12, 0.3, 0.17, 0.2, 0.12, 0.43]","[0.0, 0.0, 0.0, 0.010000000000000009, 0.0]",,I wonder what this is about,N,"['PRON', 'VERB', 'PRON', 'PRON', 'AUX', 'ADV']","['nsubj', 'ROOT', 'pobj', 'nsubj', 'ccomp', 'prep']","['I', 'wonder', 'what', 'this', 'be', 'about']","['PRP', 'VBP', 'WP', 'DT', 'VBZ', 'RB']","[True, False, True, True, True, True]","[True, False, False, False, False, False]","[False, False, False, False, False, True]"
1001_MTI_ANG_XX,"[0.42, 0.6, 0.14, 0.16, 0.14, 0.53]","[0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]","[0.16666666666666666, 0.22448979591836732, 0.2727272727272728, 0.06666666666666674, 0.2727272727272728, 0.7096774193548389]",Maybe tomorrow it will be cold,A,"['ADV', 'NOUN', 'PRON', 'AUX', 'AUX', 'ADJ']","['advmod', 'npadvmod', 'nsubj', 'aux', 'ROOT', 'acomp']","['maybe', 'tomorrow', 'it', 'will', 'be', 'cold']","['RB', 'NN', 'PRP', 'MD', 'VB', 'JJ']","[False, False, True, True, True, False]","[True, False, False, False, False, False]","[False, False, False, False, False, True]"
1001_MTI_NEU_XX,"[0.36, 0.49, 0.11, 0.15, 0.11, 0.31]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",,Maybe tomorrow it will be cold,N,"['ADV', 'NOUN', 'PRON', 'AUX', 'AUX', 'ADJ']","['advmod', 'npadvmod', 'nsubj', 'aux', 'ROOT', 'acomp']","['maybe', 'tomorrow', 'it', 'will', 'be', 'cold']","['RB', 'NN', 'PRP', 'MD', 'VB', 'JJ']","[False, False, True, True, True, False]","[True, False, False, False, False, False]","[False, False, False, False, False, True]"
1001_MTI_SAD_XX,"[0.28, 0.45, 0.1, 0.15, 0.09, 0.32]","[-5.551115123125783e-17, 0.0, 0.0, 0.0, -2.220446049250313e-16]","[-0.22222222222222213, -0.08163265306122446, -0.09090909090909087, 0.0, -0.18181818181818185, 0.03225806451612906]",Maybe tomorrow it will be cold,S,"['ADV', 'NOUN', 'PRON', 'AUX', 'AUX', 'ADJ']","['advmod', 'npadvmod', 'nsubj', 'aux', 'ROOT', 'acomp']","['maybe', 'tomorrow', 'it', 'will', 'be', 'cold']","['RB', 'NN', 'PRP', 'MD', 'VB', 'JJ']","[False, False, True, True, True, False]","[True, False, False, False, False, False]","[False, False, False, False, False, True]"
1001_TAI_HAP_XX,"[0.19, 0.33, 0.11, 0.31, 0.36]","[0.0, 0.010000000000000009, 0.0, -2.220446049250313e-16]","[0.0, -0.29787234042553185, -0.3125, -0.3673469387755102, 0.28571428571428553]",The airplane is almost full,H,"['DET', 'NOUN', 'AUX', 'ADV', 'ADJ']","['det', 'nsubj', 'ROOT', 'advmod', 'acomp']","['the', 'airplane', 'be', 'almost', 'full']","['DT', 'NN', 'VBZ', 'RB', 'JJ']","[True, False, True, True, True]","[True, False, False, False, False]","[False, False, False, False, True]"
1001_TAI_NEU_XX,"[0.19, 0.47, 0.16, 0.49, 0.28]","[0.0, 0.0, 0.010000000000000009, 0.0]",,The airplane is almost full,N,"['DET', 'NOUN', 'AUX', 'ADV', 'ADJ']","['det', 'nsubj', 'ROOT', 'advmod', 'acomp']","['the', 'airplane', 'be', 'almost', 'full']","['DT', 'NN', 'VBZ', 'RB', 'JJ']","[True, False, True, True, True]","[True, False, False, False, False]","[False, False, False, False, True]"
1001_TAI_SAD_XX,"[0.23, 0.4, 0.12, 0.41, 0.34]","[0.0, 0.0, 0.010000000000000009, 2.220446049250313e-16]","[0.21052631578947373, -0.14893617021276587, -0.25000000000000006, -0.16326530612244902, 0.21428571428571425]",The airplane is almost full,S,"['DET', 'NOUN', 'AUX', 'ADV', 'ADJ']","['det', 'nsubj', 'ROOT', 'advmod', 'acomp']","['the', 'airplane', 'be', 'almost', 'full']","['DT', 'NN', 'VBZ', 'RB', 'JJ']","[True, False, True, True, True]","[True, False, False, False, False]","[False, False, False, False, True]"
1001_TIE_NEU_XX,"[0.36, 0.12, 0.49, 0.11, 0.3]","[0.0, 0.0, 0.0, 0.010000000000000009]",,That is exactly what happened,N,"['PRON', 'AUX', 'ADV', 'PRON', 'VERB']","['nsubj', 'ROOT', 'advmod', 'nsubj', 'ccomp']","['that', 'be', 'exactly', 'what', 'happen']","['DT', 'VBZ', 'RB', 'WP', 'VBD']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1001_TIE_SAD_XX,"[0.19, 0.12, 0.45, 0.12, 0.32]","[0.0, 2.220446049250313e-16, 0.0, 0.009999999999999787]","[-0.4722222222222222, 0.0, -0.08163265306122446, 0.09090909090909087, 0.06666666666666674]",That is exactly what happened,S,"['PRON', 'AUX', 'ADV', 'PRON', 'VERB']","['nsubj', 'ROOT', 'advmod', 'nsubj', 'ccomp']","['that', 'be', 'exactly', 'what', 'happen']","['DT', 'VBZ', 'RB', 'WP', 'VBD']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1001_TSI_FEA_XX,"[0.23, 0.3, 0.07, 0.42]","[-5.551115123125783e-17, 0.0, 0.0]","[0.0, -0.3023255813953489, -0.5882352941176471, -0.06666666666666672]",The surface is slick,F,"['DET', 'NOUN', 'AUX', 'ADJ']","['det', 'nsubj', 'ROOT', 'acomp']","['the', 'surface', 'be', 'slick']","['DT', 'NN', 'VBZ', 'JJ']","[True, False, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_TSI_NEU_XX,"[0.23, 0.43, 0.17, 0.45]","[0.0, 0.020000000000000018, 2.220446049250313e-16]",,The surface is slick,N,"['DET', 'NOUN', 'AUX', 'ADJ']","['det', 'nsubj', 'ROOT', 'acomp']","['the', 'surface', 'be', 'slick']","['DT', 'NN', 'VBZ', 'JJ']","[True, False, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_WSI_ANG_XX,"[0.2, 0.53, 0.16, 0.07, 0.32, 0.09, 0.6]","[-2.7755575615628914e-17, 0.010000000000000009, 0.0, 0.0, 0.0, 0.009999999999999787]","[-0.13043478260869565, 0.5142857142857145, 0.4545454545454546, 0.16666666666666682, 0.23076923076923075, -0.10000000000000009, 0.30434782608695643]",We'll stop in a couple of minutes,A,"['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']","['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'prep', 'pobj']","['we', 'will', 'stop', 'in', 'a', 'couple', 'of', 'minute']","['PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'IN', 'NNS']","[True, True, False, True, True, False, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1001_WSI_FEA_XX,"[0.14, 0.25, 0.08, 0.04, 0.22, 0.07, 0.44]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3913043478260869, -0.28571428571428564, -0.2727272727272727, -0.3333333333333333, -0.15384615384615388, -0.3, -0.04347826086956525]",We'll stop in a couple of minutes,F,"['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']","['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'prep', 'pobj']","['we', 'will', 'stop', 'in', 'a', 'couple', 'of', 'minute']","['PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'IN', 'NNS']","[True, True, False, True, True, False, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1001_WSI_NEU_XX,"[0.23, 0.35, 0.11, 0.06, 0.26, 0.1, 0.46]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0, 0.0]",,We'll stop in a couple of minutes,N,"['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']","['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'prep', 'pobj']","['we', 'will', 'stop', 'in', 'a', 'couple', 'of', 'minute']","['PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'IN', 'NNS']","[True, True, False, True, True, False, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1001_WSI_SAD_XX,"[0.15, 0.36, 0.09, 0.05, 0.27, 0.08, 0.4]","[0.0, 0.0, 1.1102230246251565e-16, -1.1102230246251565e-16, 0.0, 0.0]","[-0.3478260869565218, 0.0285714285714286, -0.18181818181818185, -0.1666666666666666, 0.03846153846153849, -0.20000000000000004, -0.13043478260869565]",We'll stop in a couple of minutes,S,"['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']","['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'prep', 'pobj']","['we', 'will', 'stop', 'in', 'a', 'couple', 'of', 'minute']","['PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'IN', 'NNS']","[True, True, False, True, True, False, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1002_DFA_ANG_XX,"[0.3, 0.33, 0.07, 0.33]","[0.0, 1.1102230246251565e-16, 0.0]","[0.30434782608695643, 0.13793103448275876, 0.0, -0.41071428571428575]",Don't forget a jacket,A,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1002_DFA_DIS_XX,"[0.16, 0.25, 0.1, 0.63]","[0.020000000000000018, 0.0, 0.030000000000000027]","[-0.30434782608695654, -0.13793103448275856, 0.4285714285714285, 0.1249999999999999]",Don't forget a jacket,D,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1002_DFA_FEA_XX,"[0.24, 0.31, 0.06, 0.25]","[0.10000000000000009, 0.0, 0.0]","[0.04347826086956513, 0.06896551724137938, -0.14285714285714296, -0.5535714285714286]",Don't forget a jacket,F,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1002_DFA_HAP_XX,"[0.17, 0.26, 0.04, 0.22]","[0.0, 0.0, 0.0]","[-0.2608695652173913, -0.10344827586206887, -0.4285714285714286, -0.6071428571428572]",Don't forget a jacket,H,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1002_DFA_NEU_XX,"[0.23, 0.29, 0.07, 0.56]","[0.020000000000000018, 0.0, 0.0]",,Don't forget a jacket,N,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1002_DFA_SAD_XX,"[0.18, 0.27, 0.06, 0.4]","[0.0, 0.0, 0.0]","[-0.21739130434782614, -0.06896551724137918, -0.14285714285714296, -0.28571428571428575]",Don't forget a jacket,S,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1002_IEO_ANG_LO,"[0.16, 0.36, 0.72]","[0.0, 0.0]","[-0.15789473684210525, 0.16129032258064513, 0.4693877551020408]",It's eleven o'clock,A,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1002_IEO_ANG_MD,"[0.15, 0.35, 0.7]","[0.09999999999999998, 0.0]","[-0.21052631578947373, 0.12903225806451607, 0.4285714285714285]",It's eleven o'clock,A,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1002_IEO_DIS_HI,"[0.03, 0.28, 0.43]","[0.0, 0.0]","[-0.8421052631578947, -0.09677419354838701, -0.12244897959183673]",It's eleven o'clock,D,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1002_IEO_DIS_LO,"[0.3, 0.33, 0.54]","[0.0, 0.0]","[0.5789473684210525, 0.06451612903225812, 0.10204081632653071]",It's eleven o'clock,D,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1002_IEO_HAP_MD,"[0.15, 0.35, 0.58]","[0.0, 2.220446049250313e-16]","[-0.21052631578947373, 0.12903225806451607, 0.18367346938775503]",It's eleven o'clock,H,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1002_IEO_NEU_XX,"[0.19, 0.31, 0.49]","[0.0, 0.0]",,It's eleven o'clock,N,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1002_IOM_ANG_XX,"[0.19, 0.14, 0.12, 0.2, 0.04, 0.11, 0.36]","[0.0, 0.0, 0.0, 0.0, 0.020000000000000018, -2.220446049250313e-16]","[0.1875, 0.07692307692307698, 0.0, 0.3333333333333335, -0.5555555555555556, 0.0, 0.0285714285714286]",I'm on my way to the meeting,A,"['PRON', 'AUX', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN']","['nsubj', 'ROOT', 'prep', 'poss', 'pobj', 'prep', 'det', 'pobj']","['I', 'be', 'on', 'my', 'way', 'to', 'the', 'meeting']","['PRP', 'VBP', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'NN']","[True, True, True, True, False, True, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1002_IOM_HAP_XX,"[0.18, 0.09, 0.11, 0.12, 0.08, 0.1, 0.41]","[1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]","[0.12499999999999993, -0.30769230769230776, -0.0833333333333333, -0.2, -0.11111111111111106, -0.09090909090909087, 0.17142857142857143]",I'm on my way to the meeting,H,"['PRON', 'AUX', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN']","['nsubj', 'ROOT', 'prep', 'poss', 'pobj', 'prep', 'det', 'pobj']","['I', 'be', 'on', 'my', 'way', 'to', 'the', 'meeting']","['PRP', 'VBP', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'NN']","[True, True, True, True, False, True, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1002_IOM_NEU_XX,"[0.16, 0.13, 0.12, 0.15, 0.09, 0.11, 0.35]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",,I'm on my way to the meeting,N,"['PRON', 'AUX', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN']","['nsubj', 'ROOT', 'prep', 'poss', 'pobj', 'prep', 'det', 'pobj']","['I', 'be', 'on', 'my', 'way', 'to', 'the', 'meeting']","['PRP', 'VBP', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'NN']","[True, True, True, True, False, True, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
